code,name,현재가,매수가격,적정가격,매도가격,매수가격예상수익률(%),적정가격예상수익률(%),매도가격예상수익률(%),ROE(%),ROE기준,CF위험(회),배당수익률(%),배당성향(%),업종,주요제품
155660,DSR,5760,9114,8739,7418,58.23,51.72,28.78,6.12,2019/12,0,1.09,9.16,1차 비철금속 제조업,합섬섬유로프
001250,GS글로벌,1740,2788,1612,-2529,60.23,-7.36,-245.34,-4.61,2019/12,1,NaN,-0.0,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
294870,HDC현대산업개발,20000,37964,41051,51923,89.82,105.26,159.62,12.16,2022/12(E),2,2.1,5.31,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
001390,KG케미칼,19750,33108,38297,56572,67.64,93.91,186.44,17.115,2019/12,0,2.92,4.62,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제"
011070,LG이노텍,152500,115856,132941,193114,-24.03,-12.83,26.63,16.44,2022/12(E),0,0.21,6.94,전자부품 제조업,기타 전자부품 제조업
066570,LG전자,87100,88778,95951,121215,1.93,10.16,39.17,12.13,2022/12(E),0,1.04,433.53,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기"
037560,LG헬로비전,3835,10792,9669,5716,181.41,152.13,49.05,3.69,2022/12(E),0,1.24,-6.16,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
010060,OCI,65100,102854,97090,76789,57.99,49.14,17.96,5.51,2022/12(E),0,NaN,-0.0,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
100840,S&TC,15350,28809,25929,15784,87.68,68.92,2.83,3.8349999999999995,2019/12,2,4.04,38.87,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조"
064960,S&T모티브,54300,53633,56117,64866,-1.23,3.35,19.46,10.22,2022/12(E),0,3.27,843.37,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
096770,SK이노베이션,141500,164508,148037,90026,16.26,4.62,-36.38,3.83,2022/12(E),0,2.0,-787.4,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
024070,WISCOM,2340,6153,4990,893,162.95,113.25,-61.84,0.92,2019/12,0,1.88,71.43,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공"
037270,YG PLUS,5190,1048,681,-611,-79.81,-86.88,-111.77,-3.155,2019/12,0,NaN,-0.0,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작"
