code,name,현재가,매수가격,적정가격,매도가격,매수가격예상수익률(%),적정가격예상수익률(%),매도가격예상수익률(%),ROE(%),ROE기준,배당수익률(%),배당성향(%),CF위험(회),CF이익비율-3,CF이익비율-2,CF이익비율-1,CF이익비율0,업종,주요제품
155660,DSR,5930,9114,8739,7418,53.7,47.37,25.1,6.12,2019/12,1.09,9.16,0,0.46,0.46,1.29,1.23,1차 비철금속 제조업,합섬섬유로프
001250,GS글로벌,2010,2788,1612,-2529,38.71,-19.79,-225.84,-4.61,2019/12,NaN,-0.0,1,1.7,-0.18,0.57,2.2,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
294870,HDC현대산업개발,21000,37983,41085,52009,80.87,95.64,147.66,12.18,2022/12(E),2.1,5.31,1,NaN,1.43,-0.22,0.76,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
001390,KG케미칼,19750,33108,38297,56572,67.63,93.91,186.44,17.11,2019/12,2.92,4.62,0,2.49,0.81,1.24,0.45,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제"
011070,LG이노텍,161500,116470,134016,195815,-27.88,-17.02,21.25,16.67,2022/12(E),0.21,6.94,0,1.5,4.03,1.91,1.09,전자부품 제조업,기타 전자부품 제조업
066570,LG전자,88600,89277,96826,123414,0.76,9.28,39.29,12.35,2022/12(E),1.04,433.53,0,0.88,1.68,1.51,1.22,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기"
037560,LG헬로비전,3900,10922,9897,6289,180.04,153.77,61.25,4.06,2022/12(E),1.24,-6.16,0,3.86,3.91,8.58,NaN,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
010060,OCI,68800,103392,98033,79158,50.28,42.49,15.06,5.68,2022/12(E),NaN,-0.0,0,1.69,4.26,0.22,-0.07,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
100840,S&TC,15700,28809,25929,15784,83.5,65.15,0.53,3.83,2019/12,4.04,38.87,2,-0.29,-7.58,-2.29,2.68,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조"
064960,S&T모티브,52000,53460,55813,64104,2.81,7.33,23.28,10.1,2022/12(E),3.27,843.37,0,0.73,1.55,1.11,1.36,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
096770,SK이노베이션,160000,163600,146447,86030,2.25,-8.47,-46.23,3.66,2022/12(E),2.0,-787.4,0,0.68,0.81,1.44,-0.5,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
024070,WISCOM,2465,6153,4990,893,149.62,102.44,-63.76,0.92,2019/12,1.88,71.43,0,16.67,-12.0,4.88,-4.33,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공"
037270,YG PLUS,5590,1048,681,-611,-81.25,-87.82,-110.93,-3.16,2019/12,NaN,-0.0,0,0.72,5.35,-inf,4.28,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작"
011420,갤럭시아에스엠,1400,134,-361,-2104,-90.45,-125.8,-250.28,-21.08,2019/12,NaN,-0.0,0,2.11,0.42,-1.8,NaN,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고"
010130,고려아연,394500,368415,377849,411076,-6.61,-4.22,4.2,9.16,2022/12(E),3.29,41.74,0,0.89,1.16,0.86,0.51,1차 비철금속 제조업,"연,아연괴 제조,판매"
014530,극동유화,3410,5061,5239,5867,48.41,53.64,72.05,9.65,2019/12,4.64,38.83,0,0.3,0.67,0.18,2.23,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소"
013700,까뮤이앤씨,2145,1837,2038,2746,-14.34,-4.97,28.02,13.87,2019/12,2.36,10.03,1,0.81,-1.66,0.51,NaN,건물 건설업,"토목공사,건축공사/부동산 임대"
008060,대덕,6530,36573,41805,60234,460.07,540.2,822.42,16.13,2019/12,2.86,37.78,0,2.25,1.09,3.86,-27.4,전자부품 제조업,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조"
014160,대영포장,1230,1310,1252,1045,6.53,1.76,-15.07,5.97,2019/12,NaN,0.0,0,-0.63,1.72,2.16,NaN,"골판지, 종이 상자 및 종이용기 제조업","골판지원단,골판지상자 제조"
006650,대한유화,247000,291109,304260,350579,17.86,23.18,41.93,10.16,2022/12(E),2.13,15.28,0,0.8,1.1,2.02,2.21,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,나프타분해유분,올레핀류,혼합C4류,분해가솔린 제조"
000150,두산,53300,74515,75679,79778,39.8,41.99,49.68,8.67,2022/12(E),7.4,28.54,1,0.58,0.87,0.62,-1.69,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등"
241560,두산밥캣,32050,38396,37421,33986,19.8,16.76,6.04,6.79,2022/12(E),3.49,44.22,0,0.95,1.34,1.02,0.91,특수 목적용 기계 제조업,"Compact Equipment, Heavy Equipment, Portable Power"
115390,락앤락,10750,10873,9347,3970,1.14,-13.06,-63.07,2.44,2019/12,NaN,0.0,0,0.68,1.4,1.67,7.22,플라스틱제품 제조업,플라스틱 밀폐용기
027740,마니커,702,152,-68,-839,-78.4,-109.62,-219.57,-15.03,2019/12,NaN,-0.0,0,1.78,7.6,0.23,0.42,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행"
204320,만도,44600,36490,39724,51111,-18.18,-10.93,14.6,12.59,2022/12(E),1.56,23.36,0,3.32,1.45,1.25,33.41,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치"
006400,삼성SDI,552000,178223,180563,188804,-67.71,-67.29,-65.8,8.55,2022/12(E),0.42,19.74,1,-2.14,0.36,2.0,3.0,일차전지 및 축전지 제조업,"칼라브라운관,PDP,평판표시관,모니터,휴대용 디스플레이,폴리머전지(2차전지),초박형브라운관,전계발광소자 제조,판매"
