code,name,현재가,매수가격,적정가격,매도가격,매수수익률(%),적정수익률(%),매도수익률(%),ROE(%),ROE기준,배당수익률(%),배당성향(%),CF위험(회),CF이익비율-3,CF이익비율-2,CF이익비율-1,CF이익비율0,순이익적자(누적),순이익적자(회),영업이익적자(누적),영업이익적자(회),업종,주요제품
294870,HDC현대산업개발,27800,46200,49500,61200,66.19,78.06,120.14,12.05,2023/12(E),2.3,16.76,2,NaN,1.43,-0.22,-0.44,2202,1,5857,0,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
155660,DSR,5600,9050,8620,7170,61.61,53.93,28.04,6.12,2019/12,1.09,9.16,0,0.46,0.46,1.29,1.23,87,0,121,0,1차 비철금속 제조업,합섬섬유로프
001250,GS글로벌,2450,2770,1590,-2450,13.06,-35.1,-200.0,-4.61,2019/12,NaN,-0.0,1,1.7,-0.18,0.57,2.2,-165,1,534,0,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
016380,KG동부제철,13050,9430,9220,8510,-27.74,-29.35,-34.79,7.18,2020/12,0.86,14.97,1,-15.52,0.5,-4.91,1.17,668,0,1108,0,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매"
001390,KG케미칼,25550,30800,35400,51300,20.55,38.55,100.78,17.11,2019/12,2.92,4.62,0,2.49,0.81,1.24,1.07,103,2,2200,0,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제"
011070,LG이노텍,211000,127000,145000,208000,-39.81,-31.28,-1.42,16.64,2023/12(E),0.38,7.02,0,1.5,4.03,1.61,1.4,2362,0,6810,0,전자부품 제조업,기타 전자부품 제조업
066570,LG전자,153000,96800,105000,135000,-36.73,-31.37,-11.76,12.93,2023/12(E),0.89,11.02,0,0.88,1.68,1.51,1.45,19683,0,31950,0,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기"
037560,LG헬로비전,4680,7420,6880,5010,58.55,47.01,7.05,5.04,2022/12(E),1.93,-1.86,0,3.86,3.91,8.58,6.39,101,0,170,0,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
010060,OCI,115500,108000,115000,140000,-6.49,-0.43,21.21,11.66,2023/12(E),NaN,-0.0,0,1.69,4.26,0.22,1.38,-2461,3,-861,2,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
096770,SK이노베이션,211500,170000,181000,219000,-19.62,-14.42,3.55,11.55,2023/12(E),NaN,-0.0,0,0.68,0.81,1.64,-1.11,-21728,4,-25687,4,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
