code,name,현재가,매수가격,적정가격,매도가격,최종가격,매수가격수익률(%),적정가격수익률(%),매도가격수익률(%),최종가격수익률(%),ROE(%),ROE기준년도,배당수익률(%),배당성향(%),현금흐름위험(회),영업이익/현금흐름(4개년도평균),순이익(4분기누적),순이익적자(4분기횟수),영업이익(4분기누적),영업이익적자(4분기횟수),업종,주요제품
294870,HDC현대산업개발,28700,49600,52100,55900,79000,72.82,81.53,94.77,175.26,11.53,2023/12(E),2.3,16.76,2,0.2567952900182388,2202.0,1,5857.0,0,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
155660,DSR,5860,9390,8870,7070,8190,60.24,51.37,20.65,39.76,5.7,2020/12,0.8,8.96,0,0.913203568604142,89.0,0,121.0,0,1차 비철금속 제조업,합섬섬유로프
092220,KEC,2340,100,-860,-4180,40,-95.73,-136.75,-278.63,-98.29,-24.43,2020/12,NaN,-0.0,0,0.4188594014680971,-452.0,3,-23.0,2,반도체 제조업,반도체 제조
001250,GS글로벌,2405,210,-2220,-10610,90,-91.27,-192.31,-541.16,-96.26,-24.91,2020/12,NaN,-0.0,1,1.4528491125844578,-804.0,1,323.0,1,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
016380,KG동부제철,14150,9450,9250,8570,9070,-33.22,-34.63,-39.43,-35.9,7.18,2020/12,0.86,14.97,1,-4.687794601213367,668.0,0,1108.0,0,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매"
058860,KTis,3120,4680,4330,3100,3880,50.0,38.78,-0.64,24.36,4.89,2020/12,3.11,37.74,0,1.7748302650476564,0.0,0,0.0,0,기타 정보 서비스업,"114전화번호안내, 고객센터"
011070,LG이노텍,210000,198000,226000,276000,410000,-5.71,7.62,31.43,95.24,18.08,2023/12(E),0.38,7.02,0,2.1363381325302058,2362.0,0,6810.0,0,전자부품 제조업,기타 전자부품 제조업
001390,KG케미칼,26850,35100,40400,58700,63200,30.73,50.47,118.62,135.38,17.1,2020/12,1.68,12.05,0,1.453487065909356,432.0,1,2429.0,0,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제"
037560,LG헬로비전,4780,7130,6940,6670,7200,49.16,45.19,39.54,50.63,6.28,2023/12(E),1.93,-1.86,0,5.683400997225715,101.0,0,170.0,0,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
010060,OCI,116000,111000,117000,125000,178000,-4.31,0.86,7.76,53.45,11.66,2023/12(E),NaN,-0.0,0,1.8872038356384189,-2461.0,3,-861.0,2,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
